hotel_name,hotel_link,score,n_reviews,review_title,hotel_img_link,price
Crowne Plaza Today Gurgaon,"https://www.booking.com\hotel/in/crowne-plaza-today-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=23813511_270151524_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=1&highlighted_blocks=23813511_270151524_2_41_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=23813511_270151524_2_41_0__404625&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.7,173 reviews,Fabulous,https://r-ak.bstatic.com/xdata/images/hotel/square600/243126364.jpg?k=dc3fc000b540907d5728964e1cb013d74cd806b36e53b0ca2efbf3f86f8c3337&o=,4046
Holiday Inn Express Gurugram Sector 50,"https://www.booking.com\hotel/in/formule1-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=126577706_95453948_1_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=2&highlighted_blocks=126577706_95453948_1_41_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=126577706_95453948_1_41_0__181935&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_traveloffer20_customer_label=1#hotelTmpl",7.3,902 reviews,Good,https://q-ak.bstatic.com/xdata/images/hotel/square600/234407141.jpg?k=0eb4d30dd4fd0aeebb0d3d663e8f6c0995c1bd34ab16401c72ec60af806b6ca3&o=,1819
The Leela Ambience Gurgaon Hotel & Residences,"https://www.booking.com\hotel/in/the-leela-gurgaon-delhi-n-c-r.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=25043231_250728446_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=3&highlighted_blocks=25043231_250728446_2_41_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=25043231_250728446_2_41_0__599900&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.8,829 reviews,Fabulous,https://q-ak.bstatic.com/xdata/images/hotel/square600/255634843.jpg?k=417a18333030dea1b1d1c5b41f036100faf826d49063755b58f475e5a964654e&o=,5999
Courtyard by Marriott Gurugram Downtown,"https://www.booking.com\hotel/in/courtyard-by-marriott-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=25042801_270576386_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=4&highlighted_blocks=25042801_270576386_2_41_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=25042801_270576386_2_41_0__350000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.1,248 reviews,Very good,https://r-ak.bstatic.com/xdata/images/hotel/square600/89324339.jpg?k=2a6b8879a5a93db825441d6f0707fe73980edc95f42e237c129de56fe18dbc2e&o=,3500
The Gateway Resort Damdama Lake,"https://www.booking.com\hotel/in/the-gateway-damdama.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=106566102_269042662_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=5&highlighted_blocks=106566102_269042662_2_41_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=106566102_269042662_2_41_0__650000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.3,265 reviews,Very good,https://q-ak.bstatic.com/xdata/images/hotel/square600/31028338.jpg?k=64b7d707b326130477d4afa833f8cd48729942860ca7c883a3e9c995f8ccc9de&o=,6500
The Westin Sohna Resort & Spa,"https://www.booking.com\hotel/in/the-westin-sohna-resorts-amp-spa.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=47468211_247642435_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=6&highlighted_blocks=47468211_247642435_2_41_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=47468211_247642435_2_41_0__999900&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.8,170 reviews,Good,https://r-ak.bstatic.com/xdata/images/hotel/square600/252922854.jpg?k=4ef88e62ea1d5e3cbe0ffb03d6702ccde5fbcb94418bd106ad4f6999d0eba216&o=,9999
The Westin Gurgaon,"https://www.booking.com\hotel/in/the-westin-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=47134215_246431491_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=7&highlighted_blocks=47134215_246431491_2_41_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=47134215_246431491_2_41_0__529900&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.5,138 reviews,Very good,https://q-ak.bstatic.com/xdata/images/hotel/square600/182498341.jpg?k=a6154515b2f75e35fbf2174fa979881f3b800b0e11a2f795a0db0ed8375020e4&o=,5299
Taj City Centre Gurugram,"https://www.booking.com\hotel/in/vivanta-by-taj-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=46420211_265690866_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=8&highlighted_blocks=46420211_265690866_2_41_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=46420211_265690866_2_41_0__500000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",9.0,629 reviews,Superb,https://r-ak.bstatic.com/xdata/images/hotel/square600/244893543.jpg?k=307877119fd11d82699e0ffd69a1981cddc12934e7547d82e7321925e0b6affe&o=,5000
Hyatt Regency Gurgaon,"https://www.booking.com\hotel/in/hyatt-regency-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=53729418_246070325_1_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=9&highlighted_blocks=53729418_246070325_1_41_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=53729418_246070325_1_41_0__416414&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.4,"1,007 reviews",Very good,https://r-ak.bstatic.com/xdata/images/hotel/square600/131386290.jpg?k=e61a08081a11616fef9a845e68675b88490962db2c9c1821a4708b9274a4a620&o=,4164
Hyatt Place Gurgaon Udyog Vihar,"https://www.booking.com\hotel/in/hyatt-place-gurgaon-47-udyog-vihar.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=117389201_262196074_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=10&highlighted_blocks=117389201_262196074_2_41_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=117389201_262196074_2_41_0__289000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.8,529 reviews,Good,https://r-ak.bstatic.com/xdata/images/hotel/square600/199177419.jpg?k=7d082357671d3303f29679baf7560d1a48911caff8088cf7bac0bd0e06e0e7f3&o=,2890
Trident Gurgaon,"https://www.booking.com\hotel/in/trident-gurgoan.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=7879301_250720117_1_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=11&highlighted_blocks=7879301_250720117_1_41_0&hpos=11&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=7879301_250720117_1_41_0__600000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",9.4,318 reviews,Superb,https://q-ak.bstatic.com/xdata/images/hotel/square600/31515965.jpg?k=12605740491078c7dc138f2bd4ad2cb1f09ebd3c100483adad9e7c37cd84baa6&o=,6000
"Le Meridien Gurgaon, Delhi NCR","https://www.booking.com\hotel/in/pullman-gurgaon-central-park.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=29437115_246430082_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=12&highlighted_blocks=29437115_246430082_2_41_0&hpos=12&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=29437115_246430082_2_41_0__399800&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.2,143 reviews,Very good,https://q-ak.bstatic.com/xdata/images/hotel/square600/247222771.jpg?k=1d1fb1067c0e566824dd05800f5b7b62971f0fac4a3e6b3fc9ed2d9103256951&o=,3998
The Oberoi Gurgaon,"https://www.booking.com\hotel/in/the-oberoi-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=40299401_250721942_1_10_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=13&highlighted_blocks=40299401_250721942_1_10_0&hpos=13&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=40299401_250721942_1_10_0__900000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",9.5,279 reviews,Exceptional,https://r-ak.bstatic.com/xdata/images/hotel/square600/31400560.jpg?k=7311c0e33dabdf7850add7ba6a502f64bb3a8c7bdc965360daeb806bc22eac45&o=,9000
Radisson Gurugram Sohna Road City Center,"https://www.booking.com\hotel/in/fortune-select-excalibur.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=26229508_253817726_2_42_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=14&highlighted_blocks=26229508_253817726_2_42_0&hpos=14&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=26229508_253817726_2_42_0__239120&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_traveloffer20_customer_label=1#hotelTmpl",7.6,307 reviews,Good,https://q-ak.bstatic.com/xdata/images/hotel/square600/232819732.jpg?k=b6132c4a25060c76382ac26dccd4f09ee182aa6d7de119c9ca0a32d2a5525673&o=,2391
Park Plaza Gurgaon,"https://www.booking.com\hotel/in/park-plaza-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=60757003_106931216_2_42_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=15&highlighted_blocks=60757003_106931216_2_42_0&hpos=15&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=60757003_106931216_2_42_0__239920&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_traveloffer20_customer_label=1#hotelTmpl",7.7,184 reviews,Good,https://q-ak.bstatic.com/xdata/images/hotel/square600/232834848.jpg?k=584d495b573ea2abe0927ee098dc57abbb7e66d45c389a8fa940f03f4d965792&o=,2399
"Country Inn & Suites by Radisson, Gurugram Sector 12","https://www.booking.com\hotel/in/country-inn-suites-by-carlson-sec-12.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=30830304_94403159_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=16&highlighted_blocks=30830304_94403159_2_41_0&hpos=16&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=30830304_94403159_2_41_0__263920&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_traveloffer20_customer_label=1#hotelTmpl",7.9,419 reviews,Good,https://r-ak.bstatic.com/xdata/images/hotel/square600/232822374.jpg?k=4bc37d72f08e4050d30b75eaad28d74331d3f7cc053e8303928cc8b47a18801f&o=,2639
Ramada Gurgaon Central,"https://www.booking.com\hotel/in/ramada-gurgaon-central.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=27937506_250644722_1_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=17&highlighted_blocks=27937506_250644722_1_41_0&hpos=17&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=27937506_250644722_1_41_0__280500&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.4,196 reviews,Good,https://r-ak.bstatic.com/xdata/images/hotel/square600/201547154.jpg?k=9b286dcc6a97849ee45f8357deb6c28e5cf1c43e052e0663c6e55056f887312c&o=,2805
"Country Inn & Suites by Radisson, Gurugram, Sector-29","https://www.booking.com\hotel/in/country-inn-amp-suites-by-carlson-gurgaon-sector-29.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=42873614_94463766_2_33_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=18&highlighted_blocks=42873614_94463766_2_33_0&hpos=18&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=42873614_94463766_2_33_0__319920&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_traveloffer20_customer_label=1#hotelTmpl",8.0,169 reviews,Very good,https://r-ak.bstatic.com/xdata/images/hotel/square600/268494926.jpg?k=adb335f8b47b469438eeffed6e0e7ce4cac91983df1edb4e352a969d8cf57343&o=,3199
Hilton Garden Inn Gurgaon Baani Square,"https://www.booking.com\hotel/in/hilton-garden-inn-gurgaon-baani-square.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=46228802_274561262_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=19&highlighted_blocks=46228802_274561262_2_41_0&hpos=19&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=46228802_274561262_2_41_0__339920&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_traveloffer20_customer_label=1#hotelTmpl",8.0,141 reviews,Very good,https://q-ak.bstatic.com/xdata/images/hotel/square600/267734531.jpg?k=efbd6cf05ac33842ade3493982b3344ef211c70599018dbfed5a91a5a082632b&o=,3399
Radisson Gurugram Udyog Vihar,"https://www.booking.com\hotel/in/country-inn-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=34299317_183944961_1_42_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=20&highlighted_blocks=34299317_183944961_1_42_0&hpos=20&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=34299317_183944961_1_42_0__281600&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_traveloffer20_customer_label=1#hotelTmpl",8.3,867 reviews,Very good,https://q-ak.bstatic.com/xdata/images/hotel/square600/232826468.jpg?k=76b55c3895eca08c6e68bf83589d91b85a14b0a26c5cfd1c990f50a3f69960c3&o=,2816
Heritage Village Resort & Spa Manesar-Gurgaon,"https://www.booking.com\hotel/in/heritage-village-resort-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=32088602_274168306_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=21&highlighted_blocks=32088602_274168306_2_41_0&hpos=21&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=32088602_274168306_2_41_0__550000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.6,291 reviews,Good,https://r-ak.bstatic.com/xdata/images/hotel/square600/94828157.jpg?k=98fbcff5d5c8f268c80e867d14e5b8521613f39df7eb93950d9dba24c1233d8b&o=,5500
Karma Lakelands,"https://www.booking.com\hotel/in/karma-lakelands.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=650183606_274096825_4_33_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=22&highlighted_blocks=650183606_274096825_4_33_0&hpos=22&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=650183606_274096825_4_33_0__1600000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.8,13 reviews,Fabulous,https://r-ak.bstatic.com/xdata/images/hotel/square600/261225612.jpg?k=bb655931ad2fd41df5534fc1acf8686033fa9ef6e5df8781b125e4472de5ddb2&o=,16000
Karma Chalets Gurgaon,"https://www.booking.com\hotel/in/karma-chalets-gurgaon.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=217859705_265014596_0_2_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=23&highlighted_blocks=217859705_265014596_0_2_0&hpos=23&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=217859705_265014596_0_2_0__760000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.8,20 reviews,Fabulous,https://r-ak.bstatic.com/xdata/images/hotel/square600/220680879.jpg?k=6c9c7948afd08876fa66da018547a255901e455d76332fe1d0664a73e07bb6c8&o=,7600
DoubleTree by Hilton Gurgaon New Delhi NCR,"https://www.booking.com\hotel/in/doubletree-by-hilton-gurgaon-new-delhi-ncr.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=36470702_273265599_2_41_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=24&highlighted_blocks=36470702_273265599_2_41_0&hpos=24&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=36470702_273265599_2_41_0__384930&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_traveloffer20_customer_label=1#hotelTmpl",8.0,176 reviews,Very good,https://r-ak.bstatic.com/xdata/images/hotel/square600/44414509.jpg?k=0e2916dad58d1e447c14a16f7686884128a7972e6bdddd5c156dbc79799cdbf3&o=,3849
Hotel Mavens Orange Gurgaon,"https://www.booking.com\hotel/in/treebo-tryst-mavens-orange.en-gb.html?aid=397594&label=gog235jc-1FCAEoggI46AdIM1gDaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Au36uPsFwAIB0gIkZWMyMjE0YzMtZDk5OS00MmY4LTkzZTgtN2MwYTljNTgzZTk42AIF4AIB&sid=a341929425da99142e310849fae34333&all_sr_blocks=623245402_269011817_1_0_0&checkin=2020-09-28&checkout=2020-09-29&dest_id=-2096897&dest_type=city&group_adults=1&group_children=0&hapos=25&highlighted_blocks=623245402_269011817_1_0_0&hpos=25&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=623245402_269011817_1_0_0__140000&srepoch=1601063543&srpvid=0f8b8bbbcd7e020f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",9.4,114 reviews,Superb,https://q-ak.bstatic.com/xdata/images/hotel/square600/260220782.jpg?k=ebad2a7d7238f4633e05c9ade3ce66274eebbe281594829ab856b9deacd8bc75&o=,1400
